Sl.No,Material,DESCRIPTION,MRP(Rs),REMARKS
421,141428,FORK SPRING STUD,157.00,
422,141433,BATTERY 5AMPS,1462.00,
423,141454,FUEL PIPE,10.00,
424,141460/A,PLUG,2.00,
425,141462/3,"HEX.BOLT,    M6 X 55",8.00,
426,141507/2,STUD,4.00,
427,141515/A,SPACER,14.00,
428,141545,T/S OIL SEAL,27.00,
429,141625/3, ROTOR WITH KEEPER -,847.00,
430,141626,ATERNATOR SET -12V,1907.00,
431,141632,FRONT RIM,134.00,
432,141634,FIXING RIM  INNER,140.00,
433,141635,RIM FIXING SCREW,7.00,
434,141636,RIM FIXING PLATE,6.00,
435,141637,BULB HOLDER WITH WIRE,26.00,
436,141649,RIM FIXING WIRE,6.00,
437,141654/1,PILLION HOLDING TUBE,141.00,
438,141666/A,TAPPET COVER,67.00,
439,141681,FORK END OS Assy,3600.00,
440,141682,FORK END NS ASSY,3600.00,
441,141713,MAIN LIGHT BULB 12V (500CC),65.00,
442,141715,BULB  12V-2W(BA9S)(PARKING),12.00,
443,141721/3,STATOR,1060.00,
444,141722/A,SPACER,12.00,
445,141755,BULB TAIL LAMP 12V - 21/5 W,32.00,
446,141757,AMERICAN TAIL LAMP,575.00,
447,141773,MUDGUARD REAR 350CC - PLATED,"2,400.00",
448,141810,CONTACT BREAKER ASSY,1175.00,
449,141812,CONDENSER SET,118.00,
450,141815,TIMING PINION 2 DOT,342.00,
451,141816,TIMING PINION 3 DOT,342.00,
452,141829/A,BELLOWS-A/F,39.00,
453,141862,HEX NUT,3.00,
454,141945,JET NEEDLE,74.00,
455,141946,O RING,9.00,
456,141947,AIR ADJ. SPRING,7.00,
457,141948,MAIN JET (SIZE 90),63.00,
458,141949,STARTER LEVER WASHER,4.00,
459,141950,FLOAT RING PIN,14.00,
460,141951,AIR ADJUSTER,15.00,
461,141952,THROTTLE ADJUSTER SPRING,7.00,
462,141953,FLOAT CHAMBER GASKET,22.00,
